Waterbody Type,Constituent Group,Constituent,TADA.CharacteristicName,Fraction,Use,Use Description,Type,Magnitude_Numeric,Units,Directionality,Frequency,Duration,Details,Source,Listing Methodology,DEC Use,DEC Use Description,Notes,AUID_ATTNS,Name_AU,TADA.MonitoringLocationTypeName,AU_Type,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency,Exceed_Num,Exceed_Freq,Exceed,Binomial_Value,Exceed_Binomial
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,250,mg/L,Maximum,Not to exceed,Daily average,Mean of most recent 3 years not to exceed,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,DISSOLVED,32,32,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,NA,No,6,No
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,250,mg/L,Maximum,10%,Daily average,NA,NA,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,DISSOLVED,32,32,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,6,No
Freshwater,Dissolved Inorganic Substances,Sulfate,SULFATE,NA,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,250,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,NA,33,33,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,7,No
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,NA,84,33,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,13,No
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,NA,84,33,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,13,No
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,WATER SUPPLY,AQUACULTURE,NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,NA,84,33,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,13,No
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,500,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,NA,84,33,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,13,No
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,Acute,860,mg/L,Maximum,1 in most recent 3 years,1-hour average,Applies to dissolved chloride when associated with sodium,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,NA,NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,DISSOLVED,32,32,5,2 years,5,2,5,Yes,Yes,Yes,Hardness dependency not applicable.,0,NA,No,NA,No
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,Chronic,230,mg/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,Applies to dissolved chloride when associated with sodium,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,NA,NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,DISSOLVED,32,32,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,-Inf,No,4,No
Freshwater,Toxics,Chloride,CHLORIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,Chronic,230,mg/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,Applies to dissolved chloride when associated with sodium,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,NA,NA,AK_R_2050306_006,Talkeetna River,STREAM,River,MG/L,DISSOLVED,32,32,5,2 years,18,2,18,Yes,Yes,Yes,Hardness dependency not applicable.,0,-Inf,No,4,No
Freshwater,Toxics,Fluoride,FLUORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,4000,ug/L,Maximum,Not to exceed,30-day arithmetic average,NA,AK Toxics Manual,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_2050306_006,Talkeetna River,STREAM,River,UG/L,DISSOLVED,32,32,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,NA,No,NA,No
Freshwater,Toxics,Fluoride,FLUORIDE,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",NA,1000,ug/L,Maximum,Not to exceed,30-day arithmetic average,NA,AK Toxics Manual,CALM,Water Supply,Stock Watering,NA,AK_R_2050306_006,Talkeetna River,STREAM,River,UG/L,DISSOLVED,32,32,5,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,NA,No,NA,No
Freshwater,Toxics,Nitrate,NITRATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,10000,ug/L,Maximum,Not to exceed,30-day arithmetic average,NA,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_2050306_006,Talkeetna River,STREAM,River,UG/L,DISSOLVED,76,38,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,NA,No,NA,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,17,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,17,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,17,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,17,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,110,%,Maximum,10%,Daily average,NA,AK DEQ SWQS,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,110,%,Maximum,10%,Daily average,NA,AK DEQ SWQS,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,110,%,Maximum,10%,Daily average,NA,AK DEQ SWQS,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,110,%,Maximum,10%,Daily average,NA,AK DEQ SWQS,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,5,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,5,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,5,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,5,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER RECREATION,CONTACT RECREATION,NA,4,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,NA,NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER RECREATION,CONTACT RECREATION,NA,4,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,NA,NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
