Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Magnitude_Text,Magnitude_Numeric,Units,Directionality,Frequency,Duration,Details,Source,Listing Methodology,DEC Use,DEC Use Description,Notes
Freshwater,Bacteria,E. coli,ESCHERICHIA COLI,,WATER RECREATION,CONTACT RECREATION,,126,126,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Primary Contact Recreation,,
Freshwater,Bacteria,E. coli,ESCHERICHIA COLI,,WATER RECREATION,CONTACT RECREATION,,410,410,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Primary Contact Recreation,,
Marine,Bacteria,Enterococci,ENTEROCOCCUS,,WATER RECREATION,CONTACT RECREATION,,35,35,MPN/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Primary Contact Recreation,,
Marine,Bacteria,Enterococci,ENTEROCOCCUS,,WATER RECREATION,CONTACT RECREATION,,130,130,MPN/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Primary Contact Recreation,,
Groundwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,1,1,CFU/100mL,Not to exceed,Not to exceed,30-day period,Geometric mean; groundwater; using membrane filter technique,AK DEC SWQS,Pathogens,Water Supply,"Drinking, Culinary, and Food Processing",
Groundwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,3,3,CFU/100mL,Not to exceed,Not to exceed,30-day period,Geometric mean; groundwater; using most probable number (MPN) technique,AK DEC SWQS,Pathogens,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER RECREATION,SECONDARY RECREATION,,200,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Secondary Contact Recreation,,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER RECREATION,SECONDARY RECREATION,,400,400,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Secondary Contact Recreation,,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,200,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,400,400,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
